Time,Irridance,T1,T2,T3,T4,T5,T6,T7,T8,TA,Humidity,V1,V2,V3,V4,V5,V6,V7,V8,PV_Current,AC_Voltage,AC Current,AC Power
10:42,332,343,360,356,351,343,347,355,350,247,424,3878,3894,3745,3987,3813,3765,3786,3772,232,23224,2645,5823
10:43,263,339,359,354,350,338,341,351,347,248,417,3612,3634,3488,3714,3578,3526,3540,3532,280,23218,3246,7162
10:44,292,332,353,346,343,332,335,345,338,247,417,3452,3482,3326,3548,3417,3373,3374,3380,336,23900,5275,9814
10:45,381,326,346,340,338,325,328,337,333,246,420,3354,3404,3244,3470,3311,3263,3239,3243,461,23768,4792,11196
10:46,533,327,344,339,337,326,330,338,334,246,422,3417,3445,3272,3490,3352,3298,3256,3314,605,23941,5209,15149
10:48,483,333,348,343,340,331,336,341,338,248,424,3353,3389,3218,3456,3355,3295,3259,3303,561,24076,6079,14208
10:49,405,331,348,343,339,330,334,338,335,249,408,3408,3448,3290,3518,3381,3323,3277,3319,483,23851,4548,10430
10:50,341,328,345,340,337,326,328,335,330,249,406,3437,3473,3311,3527,3368,3326,3299,3323,405,23639,3735,10322
10:51,379,326,343,339,335,326,329,334,331,249,400,3495,3523,3368,3586,3414,3366,3330,3374,442,23696,4177,10124
10:52,471,323,340,336,331,323,327,333,329,249,401,3505,3527,3363,3569,3400,3352,3322,3378,535,24023,6103,14541
10:53,353,323,339,336,333,321,325,331,329,249,402,3473,3497,3329,3545,3395,3359,3371,3379,410,23744,4477,11290
10:54,389,321,336,334,331,317,321,329,327,249,395,3508,3538,3382,3604,3469,3413,3384,3414,447,23703,4720,10787
10:55,380,320,335,331,330,318,321,328,327,249,401,3477,3513,3357,3577,3430,3376,3343,3371,447,23751,4701,11169
10:56,308,322,336,333,330,320,323,330,329,250,398,3312,3368,3193,3423,3267,3253,3233,3235,380,23665,4191,9681
10:57,489,323,337,335,331,323,326,331,330,251,399,3310,3366,3191,3413,3241,3203,3171,3193,593,23867,5077,13468
10:59,253,323,338,335,331,322,326,332,330,251,397,3416,3450,3289,3505,3338,3312,3298,3308,311,23517,3569,8087
11:00,267,321,335,331,328,321,323,330,327,250,396,3348,3390,3222,3440,3324,3298,3290,3296,333,23528,3588,8388
11:01,317,318,333,329,325,319,321,327,322,249,399,3402,3442,3281,3507,3388,3346,3331,3339,387,23372,3375,8516
11:02,251,314,328,325,321,313,316,323,318,248,403,3450,3484,3329,3549,3418,3382,3364,3376,307,23482,3658,8233
11:03,259,312,326,323,319,311,314,321,316,248,406,3376,3424,3265,3487,3345,3315,3315,3297,328,23510,3583,8267
11:04,436,311,325,321,318,308,311,317,314,247,404,3413,3453,3301,3529,3429,3371,3343,3357,528,23722,4377,10561
11:05,301,309,321,319,317,306,308,315,312,247,404,3419,3457,3294,3506,3327,3323,3292,3318,370,23602,3845,9193
11:06,341,309,321,318,316,306,308,315,313,247,408,3477,3509,3355,3587,3457,3407,3384,3404,406,23688,4257,10159
11:07,531,313,322,321,319,311,314,319,319,248,411,3543,3553,3392,3624,3533,3475,3450,3498,570,24019,6289,14968
11:08,385,320,328,327,325,318,321,326,327,250,408,3477,3501,3345,3573,3443,3393,3358,3398,448,23759,5135,11988
11:10,591,326,335,333,331,322,325,331,331,252,392,3270,3292,3131,3359,3258,3200,3166,3204,707,24079,6795,16388
11:11,396,327,339,336,335,325,325,332,334,253,394,3422,3436,3288,3502,3380,3336,3313,3347,462,23814,5462,12081
11:12,432,327,341,338,336,323,325,334,336,254,392,3343,3381,3215,3421,3236,3216,3184,3208,527,23849,5231,12787
11:13,480,332,345,343,340,331,333,340,342,255,392,3393,3419,3256,3480,3386,3332,3305,3345,551,23863,5933,14285
11:14,586,334,346,345,342,332,335,342,344,255,395,3328,3356,3189,3411,3303,3241,3212,3248,691,24149,7072,16811
11:15,487,335,349,346,344,334,335,344,346,255,398,3327,3355,3185,3413,3336,3282,3258,3292,572,23963,6295,14350
11:16,482,341,353,350,348,340,340,349,351,255,398,3366,3400,3242,3452,3302,3246,3202,3238,575,23774,5474,13525
11:17,586,344,358,355,353,341,342,351,353,255,396,3344,3370,3201,3409,3269,3215,3173,3231,681,24083,6974,16739
11:18,585,346,360,357,355,346,347,355,356,256,398,3432,3454,3293,3509,3398,3332,3296,3354,642,24080,6933,16565
11:19,591,348,362,359,358,348,351,358,362,256,401,3312,3340,3173,3403,3333,3267,3228,3280,672,24050,6533,16204
11:21,568,350,366,363,360,348,349,358,359,257,398,3199,3243,3062,3280,3173,3129,3106,3132,684,24008,6785,16208
11:22,577,355,370,367,363,355,358,366,367,258,402,3347,3387,3217,3433,3289,3229,3193,3253,660,24098,6823,16390
11:23,575,357,373,369,366,358,361,368,369,259,402,3184,3236,3063,3281,3162,3114,3096,3116,694,24069,6794,16308
11:24,570,362,378,374,371,358,361,370,371,260,395,3345,3383,3220,3428,3279,3219,3177,3241,655,24080,6715,16175
11:25,572,361,380,376,373,361,363,371,371,261,392,3253,3291,3131,3361,3283,3219,3194,3228,668,24053,6713,16207
11:26,515,364,383,380,375,363,366,375,378,262,396,3306,3346,3194,3430,3379,3311,3291,3315,591,23936,6049,14359
11:27,512,363,381,379,374,361,365,375,377,263,392,3293,3341,3191,3427,3353,3283,3252,3280,596,23952,6070,14449
